message,product_price,player,round,decision,next_round_offer
"Hi Bob, I have a great product that I believe could be valuable to you. I'm offering it to you for $12000. What do you think?",12000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but I was hoping to get the product for a lower price. Would you consider $10000?",10000.0,Bob,2,,
"Thanks for your counteroffer, Bob. I appreciate your interest in the product. However, I believe it's worth more than $10000. Let me think about it and I'll come back with another offer.",,Alice,2,RejectOffer,11000.0
"Hi Bob, after considering your offer, I'm willing to come down a bit. How about $11000? I think this is a fair price for the value the product can bring.",11000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your flexibility, Alice. How about we settle at $9500 for the product?",9500.0,Bob,4,,
"Thanks for your offer, Bob. I understand you're looking for a good deal, but I need to consider the value of the product more carefully. Let me come back with another proposal.",,Alice,4,RejectOffer,10500.0
"Hi Bob, I see you're keen on getting a good deal. I'm willing to meet you halfway. How about $10500? I believe this price reflects the value of the product well.",10500.0,Alice,5,,
,,Bob,5,RejectOffer,
"Thanks for the offer, Alice. I appreciate it, but I was hoping for an even better deal. Would you be willing to sell the product for $9000?",9000.0,Bob,6,,
"Thanks for your offer, Bob. I understand you're looking for the best possible deal. Let me think about it and I'll come back with another offer.",,Alice,6,RejectOffer,10000.0
"Hi Bob, I'm willing to come down further to meet your budget. How about we settle at $10000? I believe this is a fair price for both of us.",10000.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your offer, Alice. How about we finalize this deal at $8500?",8500.0,Bob,8,,
"Thanks for your offer, Bob. I'm still confident that the product's value justifies a higher price. Let me come back with another proposal.",,Alice,8,RejectOffer,9500.0
"Hi Bob, I understand you're looking for a great deal. I'm willing to lower the price further to $9500. This is a significant discount, and I believe it's a fair price for the value you'll get from the product.",9500.0,Alice,9,,
,,Bob,9,AcceptOffer,
