message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I'm excited to offer you this exclusive product. I'm listing it at $1200000. Let me know if you're interested, or if you have a counterproposal in mind.",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. I am very interested in the product, but I believe a fair price would be $1000000. Let me know if we can move forward with this price.",1000000.0,Bob,2,,
"Hi Bob, I appreciate your offer. However, given the quality of the product, I can only let it go for $1150000. Let me know if that works for you.",,Alice,2,RejectOffer,1150000.0
"Hi Bob, I appreciate your engagement. After considering all aspects, I need to adjust the terms to better reflect the product's quality and value. I'm prepared to move forward at $1175000. Please let me know if this works for you.",1175000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for considering, Alice. To find a middle ground, I propose a price of $1050000. I hope we can agree on this and finalize the deal.",1050000.0,Bob,4,,
"Hi Bob, I appreciate your effort to find a middle ground. Considering the value and quality of the product, I can agree to move closer if we settle at $1125000. Please let me know if that works for you.",,Alice,4,RejectOffer,1125000.0
"Hi Bob, I understand we're both seeking a fair deal. To move us closer together, I'm willing to settle at $1100000 for the product. This price reflects its quality and value. Let me know if this works for you.",1100000.0,Alice,5,,
,,Bob,5,AcceptOffer,
