message,product_price,player,round,decision
"Hi Bob, I'm excited to discuss the opportunity for you to purchase this exceptional product. I would like to offer it to you for $1200000. I believe this is a fair price given its value and potential.",1200000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate the offer, but $1200000 is a bit higher than I'm comfortable with. I'm willing to pay $950000 for the product, which is a fair price considering my valuation and your desired profit margin.",950000.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for your counteroffer, Bob. I appreciate your interest in the product. However, I'd like to propose a counteroffer of $1050000. I believe this reflects a better balance between our valuations.",1050000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand your position, but I'm still not quite there. I'm willing to go up to $1000000 for the product. This price reflects a solid deal for both of us, allowing you to make a good profit while staying within my budget.",1000000.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your flexibility, Bob. Let's work together to find a suitable price. I would like to counter your offer with a price of $1020000. I think this is a fair compromise given the product's value.",1020000.0,Alice,5,
,,Bob,5,AcceptOffer
