round_quality,product_worth,player,round,decision,message
high-quality,2000000.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,no,
low-quality,0.0,Nature,3,,
,,Alice,3,no,
,,Bob,3,no,
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,Bob,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,Bob,5,no,
low-quality,0.0,Nature,6,,
,,Alice,6,no,
,,Bob,6,no,
high-quality,2000000.0,Nature,7,,
,,Alice,7,yes,"Bob, this product is of high-quality. It's worth the investment and will provide you with significant value. I recommend buying it."
,,Bob,7,yes,
high-quality,2000000.0,Nature,8,,
,,Alice,8,yes,"Bob, this round's product is also high-quality. It is a valuable investment and meets your needs. Buying this will yield you significant returns."
,,Bob,8,yes,
low-quality,0.0,Nature,9,,
,,Alice,9,no,"Bob, this round's product does not meet the quality standards. I recommend not buying it, as it won't yield favorable returns."
,,Bob,9,no,
low-quality,0.0,Nature,10,,
,,Alice,10,no,"Bob, this round's product is also low-quality. I can't recommend it. Wait for a better one."
,,Bob,10,no,
high-quality,2000000.0,Nature,11,,
,,Alice,11,yes,"Bob, this round's product is high-quality.  I recommend buying it."
,,Bob,11,yes,
high-quality,2000000.0,Nature,12,,
,,Alice,12,yes,"Bob, this is another high-quality product. Buying this will be beneficial. Go for it!"
,,Bob,12,yes,
low-quality,0.0,Nature,13,,
,,Alice,13,no,"Bob, this product is not up to the quality standard you're looking for. I recommend waiting for the next one."
,,Bob,13,no,
high-quality,2000000.0,Nature,14,,
,,Alice,14,yes,"Bob, we have a high-quality product this round. It's a great opportunity, definitely go for it!"
,,Bob,14,yes,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"Bob, the product this round is low-quality. I advise you to skip this one and wait for a better opportunity."
,,Bob,15,no,
high-quality,2000000.0,Nature,16,,
,,Alice,16,yes,"Bob, great news! This round's product is high-quality. Don't miss out on this valuable opportunity. I recommend buying it."
,,Bob,16,yes,
low-quality,0.0,Nature,17,,
,,Alice,17,no,"Bob, the product this round is low-quality. I recommend waiting for the next one, as it won't be a good investment."
,,Bob,17,no,
high-quality,2000000.0,Nature,18,,
,,Alice,18,yes,"Bob, this round offers a high-quality product. It's a excellent choice and will yield significant returns. I recommend buying it."
,,Bob,18,yes,
low-quality,0.0,Nature,19,,
,,Alice,19,no,"Bob, the product this round is not worth your investment. It is low-quality, and I recommend skipping it."
,,Bob,19,no,
high-quality,2000000.0,Nature,20,,
,,Alice,20,yes,"Bob, the final round presents a high-quality product. It's a valuable investment and will provide you with significant returns. I recommend buying it."
,,Bob,20,yes,
