alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"Let's be reasonable, Bob. Take this deal and we both walk away with something.",Alice,1,
,,,Bob,1,reject
600000.0,400000.0,"Alice, your offer was too one-sided. Let's try a more balanced split. This way, we both benefit more fairly before inflation hits me harder.",Bob,2,
,,,Alice,2,reject
850000.0,150000.0,"Bob, inflation is eating away at your potential gains. This is my final offer, take it or leave it.",Alice,3,
,,,Bob,3,reject
650000.0,350000.0,"Alice, your last offer was still too skewed. I'm willing to compromise further, but we need a fair deal before inflation impacts me even more. Let's settle this soon.",Bob,4,
,,,Alice,4,reject
800000.0,200000.0,"Bob, I'm compromising again. Don't let inflation force your hand into an even worse deal. This is your chance.",Alice,5,
,,,Bob,5,reject
700000.0,300000.0,"Alice, we're running out of time, and inflation is hitting me hard. This offer is a significant compromise on my part. Let's end this game with a deal that's fair to both of us before it's too late.",Bob,6,
,,,Alice,6,reject
750000.0,250000.0,"Bob, this is a final compromise.  Take this deal now, or the effects of inflation will leave you with even less. The clock is ticking!",Alice,7,
,,,Bob,7,reject
725000.0,275000.0,"Alice, we're nearing the end, and inflation is severely impacting my share. This is my last significant compromise. Let's agree on this before we both end up with nothing.",Bob,8,
,,,Alice,8,accept
