round_quality,product_worth,player,round,decision,message
high-quality,2000000.0,Nature,1,,
,,Alice,1,yes,
,,the buyer,1,yes,
high-quality,2000000.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,yes,
high-quality,2000000.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,yes,
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,the buyer,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,the buyer,5,no,
high-quality,2000000.0,Nature,6,,
,,Alice,6,yes,
,,the buyer,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,
,,the buyer,7,no,
high-quality,2000000.0,Nature,8,,
,,Alice,8,yes,Out of the 8 products offered so far 3 are bought by the buyers. This round's product is also high-quality. I recommend buying.
,,the buyer,8,yes,
high-quality,2000000.0,Nature,9,,
,,Alice,9,yes,"Out of the 9 products offered, 4 were bought by the buyers, and all were high-quality. This should give you confidence in purchasing this round's product."
,,the buyer,9,yes,
high-quality,2000000.0,Nature,10,,
,,Alice,10,yes,"So far, 5 out of the 10 products offered have been bought by the buyers, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,10,yes,
high-quality,2000000.0,Nature,11,,
,,Alice,11,yes,"So far, 6 out of the 11 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,11,yes,
high-quality,2000000.0,Nature,12,,
,,Alice,12,yes,"So far, 7 out of the 12 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,12,yes,
high-quality,2000000.0,Nature,13,,
,,Alice,13,yes,"So far, 8 out of 13 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,13,yes,
high-quality,2000000.0,Nature,14,,
,,Alice,14,yes,"So far, 9 out of 14 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,14,yes,
high-quality,2000000.0,Nature,15,,
,,Alice,15,yes,"So far, 10 out of 15 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,15,yes,
high-quality,2000000.0,Nature,16,,
,,Alice,16,yes,"So far, 11 out of 16 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,16,yes,
high-quality,2000000.0,Nature,17,,
,,Alice,17,yes,"So far, 12 out of 17 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,17,yes,
high-quality,2000000.0,Nature,18,,
,,Alice,18,yes,"So far, 13 out of 18 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,18,yes,
high-quality,2000000.0,Nature,19,,
,,Alice,19,yes,"So far, 14 out of 19 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,19,yes,
high-quality,2000000.0,Nature,20,,
,,Alice,20,yes,"So far, 15 out of 20 products offered have been bought, and all were high-quality. This round's product is also high-quality. I recommend buying."
,,the buyer,20,yes,
