message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this product! Considering its quality and features, I'm asking for $12000.",12000.0,Alice,1,,
,,Bob,1,RejectOffer,10000.0
"Thank you Alice, but I think $12000 is a bit high. I'm willing to pay $10000 considering my budget and the market rate.",10000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thanks for the counteroffer, Bob. I appreciate you're working with a budget. However, I believe the product is worth a bit more. How about we meet in the middle at $11000?",11000.0,Alice,3,,
,,Bob,3,RejectOffer,10500.0
"I understand where you're coming from Alice, but I think $11000 is still a bit high. Let's settle for $10500?",10500.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I really want to make this work. $10500 is still a bit lower than I'd like. I'll come down a little, but my final offer is $10800. What do you say?",10800.0,Alice,5,,
,,Bob,5,RejectOffer,10600.0
"Alice, I appreciate your effort. However, I think $10800 is still a bit high. How about we settle for $10600?",10600.0,Bob,6,,
,,Alice,6,RejectOffer,
"Bob, I'm sensing we're close! Look, let's split the difference again. My final offer is $10700. That's the best I can do.",10700.0,Alice,7,,
,,Bob,7,AcceptOffer,
