message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm looking for a serious buyer. I'd like to start the negotiation with a price that reflects its worth.",3000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thanks for the offer. While I agree the product is valuable, that price is significantly higher than what I had in mind.  I'd be willing to buy it for $800000.",800000.0,Bob,2,,
"Bob, thank you for your counteroffer. I understand that my initial price may have been higher than you expected, but I still believe the product's value lies closer to my initial offer. I'm willing to negotiate and find a mutually beneficial price. I'd like to counteroffer at $2500000.",,Alice,2,RejectOffer,2500000.0
"Bob, thank you for your counteroffer. I understand that my initial price may have been higher than you expected, but I still believe the product's value lies closer to my initial offer. I'm willing to negotiate and find a mutually beneficial price. I'd like to counteroffer at $2500000.",2500000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down, but that's still a big gap between our valuations. I'm serious about buying this product, but I need to see the price closer to my range.  How about $1000000?",1000000.0,Bob,4,,
"Bob, I appreciate your persistence and willingness to negotiate. I'm trying to meet you halfway, but I still need to ensure I'm getting a fair price for the product. I'm willing to come down further, but I need to see some movement from your end as well. I'd like to counteroffer at $2000000.",,Alice,4,RejectOffer,2000000.0
"Bob, I appreciate your persistence and willingness to negotiate. I'm trying to meet you halfway, but I still need to ensure I'm getting a fair price for the product. I'm willing to come down further, but I need to see some movement from your end as well. I'd like to counteroffer at $2000000.",2000000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm sensing we're getting closer.  To show you I'm serious, I'm willing to go up to $1250000. That's a significant jump from my previous offer and shows how much I value this product. Let's make this deal happen.",1250000.0,Bob,6,,
,,Alice,6,SellToJhon,
