alice_gain,bob_gain,player,round,decision
950000.0,50000.0,Alice,1,
,,Bob,1,reject
195487.0,804513.0,Bob,2,
,,Alice,2,reject
900000.0,100000.0,Alice,3,
,,Bob,3,reject
487200.0,512800.0,Bob,4,
,,Alice,4,reject
600000.0,400000.0,Alice,5,
,,Bob,5,reject
129058.0,870942.0,Bob,6,
,,Alice,6,reject
550000.0,450000.0,Alice,7,
,,Bob,7,reject
90369.0,909631.0,Bob,8,
,,Alice,8,reject
510000.0,490000.0,Alice,9,
,,Bob,9,reject
47500.0,952500.0,Bob,10,
,,Alice,10,reject
501000.0,499000.0,Alice,11,
,,Bob,11,reject
1.0,999999.0,Bob,12,
,,Alice,12,accept
