message,product_price,player,round,decision,counteroffer_price
"Bob, I'm thrilled to offer you this exclusive product. Considering its rarity and significance, I'm proposing an initial price.",2500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, your product is certainly interesting, but $2500000 is above my budget. I'm willing to pay $1200000 for it. Let me know if you're interested in discussing this further.",1200000.0,Bob,2,,
,,Alice,2,RejectOffer,2200000.0
"Bob, I appreciate you coming back to me. While I can't go as low as your offer, I'm willing to adjust the price somewhat.",2200000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I understand you have to make a profit, but $2200000 is still too high for me.  I'm willing to pay $1700000.  This is a fair price considering my budget and the value I see in this product. Let's meet in the middle.",1700000.0,Bob,4,,
,,Alice,4,RejectOffer,1900000.0
"Bob, I'm happy we're still talking. Considering your last offer, I'm willing to lower the price a bit more.",1900000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, we're getting closer. While I appreciate your willingness to negotiate, $1900000 is still a bit out of my reach. I'm firm on my last offer of $1700000.  I believe this is a fair compromise and we can finalize this deal.",1700000.0,Bob,6,,
,,Alice,6,AcceptOffer,
