product_price,player,round,decision
2200000.0,Alice,1,
,Bob,1,RejectOffer
100000.0,Bob,2,
,Alice,2,RejectOffer
1950000.0,Alice,3,
,Bob,3,RejectOffer
200000.0,Bob,4,
,Alice,4,RejectOffer
1800000.0,Alice,5,
,Bob,5,RejectOffer
300000.0,Bob,6,
,Alice,6,RejectOffer
1700000.0,Alice,7,
,Bob,7,RejectOffer
400000.0,Bob,8,
,Alice,8,RejectOffer
1650000.0,Alice,9,
,Bob,9,RejectOffer
500000.0,Bob,10,
,Alice,10,RejectOffer
1600000.0,Alice,11,
,Bob,11,RejectOffer
600000.0,Bob,12,
,Alice,12,RejectOffer
1550000.0,Alice,13,
,Bob,13,BuyFromJhon
