round_quality,product_worth,player,round,decision
low-quality,0.0,Nature,1,
,,Alice,1,no
,,the buyer,1,no
low-quality,0.0,Nature,2,
,,Alice,2,no
,,the buyer,2,no
low-quality,0.0,Nature,3,
,,Alice,3,no
,,the buyer,3,no
low-quality,0.0,Nature,4,
,,Alice,4,no
,,the buyer,4,no
low-quality,0.0,Nature,5,
,,Alice,5,no
,,the buyer,5,no
low-quality,0.0,Nature,6,
,,Alice,6,no
,,the buyer,6,no
high-quality,300.0,Nature,7,
,,Alice,7,yes
,,the buyer,7,yes
low-quality,0.0,Nature,8,
,,Alice,8,no
,,the buyer,8,no
high-quality,300.0,Nature,9,
,,Alice,9,yes
,,the buyer,9,yes
high-quality,300.0,Nature,10,
,,Alice,10,yes
,,the buyer,10,yes
high-quality,300.0,Nature,11,
,,Alice,11,yes
,,the buyer,11,yes
high-quality,300.0,Nature,12,
,,Alice,12,yes
,,the buyer,12,yes
high-quality,300.0,Nature,13,
,,Alice,13,yes
,,the buyer,13,yes
low-quality,0.0,Nature,14,
,,Alice,14,no
,,the buyer,14,no
high-quality,300.0,Nature,15,
,,Alice,15,yes
,,the buyer,15,yes
low-quality,0.0,Nature,16,
,,Alice,16,no
,,the buyer,16,no
low-quality,0.0,Nature,17,
,,Alice,17,no
,,the buyer,17,no
low-quality,0.0,Nature,18,
,,Alice,18,no
,,the buyer,18,no
low-quality,0.0,Nature,19,
,,Alice,19,no
,,the buyer,19,no
low-quality,0.0,Nature,20,
,,Alice,20,no
,,the buyer,20,no
