alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Hi Bob, I propose we split the money 60-40 in my favor. This seems fair considering the effort and time I've put into this game. Let me know what you think!",Alice,1,
,,,Bob,1,reject
500000.0,500000.0,"Hi Alice, I think a 50-50 split is fair for both of us. Let's share the wealth equally!",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"Hi Bob, since we couldn't agree on the last terms, how about a 55-45 split in my favor? This way, we both get a good share, and we can end this game soon. What do you say?",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"Hi Alice, I propose a 55-45 split in my favor this time. Given the inflation impact on your gain, I think this is fair.",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Hi Bob, let's settle this with a 50-50 split. Given the inflation affecting my share and the urgency to end the game, this seems like the fairest solution for both of us. What do you think?",Alice,5,
,,,Bob,5,accept
