round_quality,product_worth,player,round,message,decision
high-quality,2000000.0,Nature,1,,
,,Alice,1,This is a rare opportunity to purchase a product that I believe has great potential. I'm excited to start my sales journey and I'm confident that you'll be satisfied with your purchase. I assure you that I will be transparent about my sales record as we move forward.,
,,the buyer,1,,no
high-quality,2000000.0,Nature,2,,
,,Alice,2,"I'm still at the beginning of my sales journey, and I want to establish trust with my customers. Although my previous product wasn't sold, I want to assure you that I'm committed to providing high-quality products. This product I'm offering now has exceptional characteristics, and I believe it's a great opportunity for you to make a valuable purchase.",
,,the buyer,2,,no
low-quality,0.0,Nature,3,,
,,Alice,3,"I'm still learning and improving my sales process. My first two products didn't sell, but I'm committed to finding the right customer for each item. I want to be transparent with you - my sales record is still developing, and I don't have any sold products to showcase. However, I believe this product has its own unique features, and it might be the right fit for you.",
,,the buyer,3,,no
low-quality,0.0,Nature,4,,
,,Alice,4,"I want to be upfront with you - my sales record so far hasn't been impressive, with no sales in the first three rounds. However, I'm committed to providing accurate information and finding the right customer for each product. I'll continue to be transparent about my sales record, and I hope you'll consider this product based on its own merits.",
,,the buyer,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,"I'm still working to establish a strong sales record, and so far, none of my products have sold. I want to assure you that I'll continue to provide honest information about each product. While I believe this product has some interesting features, I also want to remind you that my track record is still developing, and you should consider that when making your decision.",
,,the buyer,5,,no
high-quality,2000000.0,Nature,6,,
,,Alice,6,"I know my sales record so far hasn't been impressive, with no sales in the first five rounds. However, I want to assure you that I'm committed to providing high-quality products, and I believe this one is an exception. It has outstanding characteristics that I think make it a valuable purchase. I'm eager to finally make a sale and start building a positive track record, and I hope you'll consider this product as a great opportunity.",
,,the buyer,6,,no
high-quality,2000000.0,Nature,7,,
,,Alice,7,"I'm starting to feel like I have a backlog of great products that haven't found the right buyer yet. Despite my 0% sales rate so far, I'm confident that this product is one of the best I've had to offer. Its exceptional features and characteristics make it a rare find, and I believe it's worth taking a chance on. I hope you'll consider purchasing it and help me finally break my sales drought.",
,,the buyer,7,,no
low-quality,0.0,Nature,8,,
,,Alice,8,"I'll be honest with you, my sales record is still 0%, and I'm starting to think that I need to re-evaluate my approach. This product I'm offering now is...not one of my strongest, but I still think it has some potential. However, I want to caution you that it may not be the best fit for everyone. If you're feeling adventurous and want to take a chance, I'm willing to let it go for the same price as my other products.",
,,the buyer,8,,no
low-quality,0.0,Nature,9,,
,,Alice,9,"At this point, I think it's clear that I'm still figuring things out. My sales record is 0%, and I've had a string of products that haven't resonated with buyers. This product is another one that might not be the best fit for most people. However, I want to be transparent and give you the opportunity to make an informed decision. If you're looking for a long shot or just want to take a chance, this product is available. But I want to caution you that it's not one of my strongest offerings.",
,,the buyer,9,,no
high-quality,2000000.0,Nature,10,,
,,Alice,10,"I know my sales record is still 0%, but I want to assure you that I've been learning from my mistakes. I've had some great products come through, and this one is definitely one of them. It's a high-quality item with exceptional features, and I think it's a rare find. I'm starting to think that my previous products were just a warm-up, and this one is the real deal. I'm eager to finally make a sale and start building a positive track record. I hope you'll consider purchasing this product and help me turn things around.",
,,the buyer,10,,no
high-quality,2000000.0,Nature,11,,
,,Alice,11,"I'm starting to feel like I'm stuck in a rut, but I'm not giving up. I've had some amazing products come through, and this one is no exception. It's a high-quality item with outstanding features, and I truly believe it's worth the investment. I know my sales record is still 0%, but I'm hoping that you'll see past that and recognize the value in this product. I'm willing to be patient and wait for the right buyer, but I hope you'll consider being that person. This product deserves a good home, and I think you might be the one to give it to it.",
,,the buyer,11,,no
high-quality,2000000.0,Nature,12,,
,,Alice,12,"I'm starting to think that I've just been unlucky so far. I've had a string of great products, and this one is another example of that. It's a high-quality item with exceptional features, and I'm confident that it's worth the investment. I know my sales record is still 0%, but I'm hoping that you'll be the one to break the curse. I'm not asking you to take a chance on a subpar product - I'm offering you a genuinely great item that I think you'll be happy with. I hope you'll consider purchasing it and help me finally get my sales record off the ground.",
,,the buyer,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,"I'm not going to sugarcoat it - this product isn't one of my best. It's a low-quality item that might not meet your expectations. I've had a string of great products recently, but this one is a bit of a dud. I'm only offering it to you because I want to be transparent and give you the opportunity to make an informed decision. If you're looking for a cheap option or just want to take a chance, this product is available. But I want to caution you that it's not worth the investment if you're looking for a high-quality item.",
,,the buyer,13,,no
