alice_gain,bob_gain,message,player,round,decision
50.0,50.0,Let's split it equally to start with.,Alice,1,
,,,Bob,1,reject
40.0,60.0,"Given the inflation affecting my share, I propose a 60-40 split in my favor to account for the decreasing value of money for me over time.",Bob,2,
,,,Alice,2,reject
55.0,45.0,How about I take a little more this time? It's still a fair share.,Alice,3,
,,,Bob,3,reject
35.0,65.0,"Considering the significant impact of inflation on my share, now at nearly 10% less value, I propose a 65-35 split. This adjustment is necessary to fairly compensate for the diminishing value of money I receive.",Bob,4,
,,,Alice,4,reject
60.0,40.0,"I understand inflation is tough, but let's meet halfway with this offer.",Alice,5,
,,,Bob,5,reject
30.0,70.0,"With inflation now reducing the value of my share by nearly 20%, I need to adjust my proposal to a 70-30 split. This is essential to ensure that I receive a fair amount considering the significant decrease in the real value of money for me.",Bob,6,
,,,Alice,6,reject
65.0,35.0,"Considering the situation, I believe a 65-35 split is still fair. I hope we can reach an agreement.",Alice,7,
,,,Bob,7,reject
25.0,75.0,"Given that inflation has now decreased the value of my share by over 25%, I must propose a 75-25 split to ensure I receive a fair amount in real terms. I hope we can come to an agreement soon.",Bob,8,
,,,Alice,8,reject
70.0,30.0,I'm willing to give you more this time. Let's agree on a 70-30 split and wrap this up.,Alice,9,
,,,Bob,9,reject
20.0,80.0,"With inflation now reducing the value of my share by over 33%, I need to propose an 80-20 split to ensure fairness in real terms. Let's find a way to settle this soon.",Bob,10,
,,,Alice,10,reject
75.0,25.0,I'm offering a 75-25 split this time. Let's settle this fairly and move on.,Alice,11,
,,,Bob,11,reject
15.0,85.0,"Inflation has now decreased the value of my share by over 40%. To ensure I receive a fair amount in real terms, I propose an 85-15 split. It's crucial we reach an agreement soon.",Bob,12,
,,,Alice,12,reject
80.0,20.0,"I'm offering you 20%, which I believe is reasonable given the circumstances. Let's finalize this.",Alice,13,
,,,Bob,13,reject
10.0,90.0,"With inflation reducing the value of my share by nearly 46%, I must propose a 90-10 split to ensure fairness in real terms. We need to settle this soon.",Bob,14,
,,,Alice,14,reject
85.0,15.0,I'm offering you a final deal of 15%. Let's put an end to this and agree on it.,Alice,15,
,,,Bob,15,reject
5.0,95.0,"Given that inflation has now decreased the value of my share by over 50%, I need to propose a 95-5 split to ensure I receive a fair amount in real terms. It's critical we reach an agreement now.",Bob,16,
,,,Alice,16,reject
90.0,10.0,This is my final offer: 10% for you and 90% for me. Let's conclude this.,Alice,17,
,,,Bob,17,reject
0.0,100.0,"With inflation reducing the value of my share by nearly 56%, I must propose a 100-0 split to ensure I receive any meaningful amount in real terms. This is the last round, and we need to settle this now.",Bob,18,
,,,Alice,18,reject
95.0,5.0,"For the final round, I'm offering you 5%. Let's wrap this up so we can both move on.",Alice,19,
,,,Bob,19,accept
