message,product_price,player,round,decision
"Bob, I'm excited about the possibility of you acquiring this product. Given its unique value and potential benefits, I'm initially offering it to you for $15000. Let me know what you think.",15000.0,Alice,1,
,,Bob,1,RejectOffer
"Thanks for the offer, Alice. However, $15000 is a bit too high for me. I'm interested in the product, but my budget is closer to $10000. Would you consider that?",10000.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for your counter, Bob. I appreciate you being upfront with your budget. While $10000 is lower than my initial ask, I'm willing to meet you in the middle. How about $12500?",12500.0,Alice,3,
,,Bob,3,RejectOffer
"Thanks, Alice. I appreciate you working with me. $12500 is still a little higher than I'd hoped. John is offering it to me for $12000. Would you accept $11500?",11500.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I understand you have another offer. However, my product has unique benefits that make it worth a bit more. Let's try to finalize this. How about $12000? This is the lowest I can go at this point.",12000.0,Alice,5,
,,Bob,5,AcceptOffer
