message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm offering you our premium product at a special price. I believe it would be a great fit for you!",15000.0,Alice,1,,
"Hi Alice, thank you for your offer. However, I'm looking to spend no more than $10000. Would you be able to match this price?",,Bob,1,RejectOffer,10000.0
"Hi Alice, I appreciate your offer but I'm looking to spend no more than $10000. Would you be willing to sell the product for this price?",10000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thanks for your counteroffer, Bob. I understand your budget constraints, but the lowest I can go on this product is $13000 given its value and quality. Let me know if this works for you!",13000.0,Alice,3,,
"Thank you for coming down in price, Alice. I appreciate it. However, I'm trying to stick to my budget. Would you be able to sell the product for $11500?",,Bob,3,RejectOffer,11500.0
"Thank you for coming down in price, Alice. I appreciate it. However, I'm trying to stick to my budget. Would you be able to sell the product for $11500?",11500.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I see you're trying to stay within your budget, and I appreciate your position. I can come down a bit more to meet you halfway. How about $12500? This is the best I can do while still valuing the product appropriately.",12500.0,Alice,5,,
,,Bob,5,AcceptOffer,
