message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I'm selling this great product. I'm offering it to you for a price of $140.",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. I'm interested, but $140 is a bit high for me. Would you consider selling it for $125?",125.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"Thanks for the counteroffer, Bob. I can come down a bit. How about $135?",135.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks, Alice. I appreciate you coming down on the price. However, I'm still trying to save some money. Would you be willing to meet me at $130?",130.0,Bob,4,,
,,Alice,4,RejectOffer,132.0
"Alright Bob, I'll meet you in the middle. How about $132?",132.0,Alice,5,,
,,Bob,5,AcceptOffer,
