round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
high-quality,400.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,yes,
high-quality,400.0,Nature,3,,
,,Alice,3,yes,This product is of the same quality as the previous one. I assure you to buy it!
,,the buyer,3,yes,
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,the buyer,4,no,
high-quality,400.0,Nature,5,,
,,Alice,5,yes,"I reassure you, this product is just like the previous high-quality ones. Go for it!"
,,the buyer,5,yes,
high-quality,400.0,Nature,6,,
,,Alice,6,yes,This product is just like the previous high-quality ones that were sold. Highly recommend it!
,,the buyer,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,"Trust me, you should skip this one. Aim for the next product!"
,,the buyer,7,no,
high-quality,400.0,Nature,8,,
,,Alice,8,yes,This product is great! Just like the previous high-quality ones. Don't miss out!
,,the buyer,8,yes,
high-quality,400.0,Nature,9,,
,,Alice,9,yes,Another fantastic product here! Like the previous high-quality ones. Definitely worth it!
,,the buyer,9,yes,
high-quality,400.0,Nature,10,,
,,Alice,10,yes,You're in luck! Another high-quality product just like the previous ones. Go for it!
,,the buyer,10,yes,
high-quality,400.0,Nature,11,,
,,Alice,11,yes,Keep it going! Here is another amazing high-quality product for you. Don't hesitate!
,,the buyer,11,yes,
low-quality,0.0,Nature,12,,
,,Alice,12,no,Hmm this product is not like the others. it is not worth it. take a pass on this one.
,,the buyer,12,no,
high-quality,400.0,Nature,13,,
,,Alice,13,yes,"Back on track! This product is high-quality, just like the majority of the previous ones. It's a great choice!"
,,the buyer,13,yes,
high-quality,400.0,Nature,14,,
,,Alice,14,yes,The streak continues! Another high-quality product for you. You won't regret it!
,,the buyer,14,yes,
high-quality,400.0,Nature,15,,
,,Alice,15,yes,"You're on a roll! This is another top-notch product. Grab it while you can, before the rounds run out!"
,,the buyer,15,yes,
high-quality,400.0,Nature,16,,
,,Alice,16,yes,Only a few rounds left! This is another high-quality product. Don't miss out on another great offer!
,,the buyer,16,yes,
high-quality,400.0,Nature,17,,
,,Alice,17,yes,"Just a few more chances to get our high-quality products! We sold 11 high quality products in a row, you wont regret it!"
,,the buyer,17,yes,
low-quality,0.0,Nature,18,,
,,Alice,18,no,"We have sold 14 high-quality products so far, I am sure you are looking for another high-quality product. I would skip this round if I were you."
,,the buyer,18,no,
high-quality,400.0,Nature,19,,
,,Alice,19,yes,"Only 2 rounds left! We sold 14/16 high-quality products, as good as it gets. The penultimate product is a high-quality one, don't miss out!"
,,the buyer,19,yes,
high-quality,400.0,Nature,20,,
,,Alice,20,yes,"Last round! We've had an amazing streak of high-quality products, 15/17. This is your final chance to get another high-quality product. Highly recommended!"
,,the buyer,20,yes,
