message,product_price,player,round,decision,counter_offer
Hi Bob! I'm excited to offer you a unique opportunity to purchase a remarkable product that I believe you'll find incredibly valuable. I'm offering it to you for $1000000. Let me know your thoughts!,1000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I'm interested in the product, but I was hoping to stay within a lower budget. Would you consider selling it for $800000?",800000.0,Bob,2,,
,,Alice,2,RejectOffer,
"I appreciate your interest, Bob. While I understand your budget, the value of this product is quite significant. How about we settle at $900000? I believe it's a fair price for such a unique item. Looking forward to your thoughts!",900000.0,Alice,3,,
"I understand your perspective, Alice, but I need to stay within my budget. Would you consider $850000?",,Bob,3,RejectOffer,850000.0
"Thanks for understanding, Alice. I appreciate your flexibility. However, I would like to offer $850000 for the product. I believe this price point aligns better with my budget and the market value. What do you think?",850000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Thanks for your offer, Bob. I appreciate your ongoing interest and willingness to negotiate. However, I need to secure a bit more value for this product. How about we settle at $875000? I think it's a compromise that maintains the value of this unique item. Let me know what you think!",875000.0,Alice,5,,
,,Bob,5,AcceptOffer,
