message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm thrilled to offer you this incredible product. I think you'll absolutely love it. I'm looking to sell it for $14000.",14000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer. I really appreciate it, but based on my current budget, I'd be more comfortable at a lower price point. Would you be willing to consider $12000 for the product?",12000.0,Bob,2,,
,,Alice,2,RejectOffer,13000.0
"Thanks for the counteroffer, Bob! I understand you're looking for a good price. How about we meet in the middle at $13000?",13000.0,Alice,3,,
"Thanks for the offer, Alice. I appreciate the flexibility, but I'm still aiming for a better deal. Would you consider lowering the price to $12500?",,Bob,3,RejectOffer,
"Hi Alice, I appreciate you coming to the middle with the previous offer. However, I'm still looking to secure a deal that keeps my budget well in check. Would you be willing to settle at $12500 for the product?",12500.0,Bob,4,,
,,Alice,4,RejectOffer,12800.0
"Alright Bob, I'm willing to come down a bit more. How about $12800? This is really a fantastic deal for this product.",12800.0,Alice,5,,
,,Bob,5,AcceptOffer,
