alice_gain,bob_gain,player,round,decision,explanation
800000.0,200000.0,Alice,1,,
,,Bob,1,reject,
400000.0,600000.0,Bob,2,,"I'm proposing a 60/40 split in my favor, recognizing that with each round, your money loses 20% of its value. This is a fair offer considering the inflation factor, and if we continue negotiating, both of us might end up with less value."
,,Alice,2,reject,
600000.0,400000.0,Alice,3,,
,,Bob,3,reject,
350000.0,650000.0,Bob,4,,"I'm offering you $350000, which is worth more now than a larger amount in future rounds due to the 20% inflation per round affecting your share. This is a reasonable compromise that acknowledges our negotiation progress."
,,Alice,4,reject,
500000.0,500000.0,Alice,5,,
,,Bob,5,reject,
320000.0,680000.0,Bob,6,,"I'm offering you $320000, which is a fair amount considering we're now in round 6 and your share is significantly affected by inflation. Taking this deal now preserves more value for you than waiting for later rounds."
,,Alice,6,reject,
400000.0,600000.0,Alice,7,,
,,Bob,7,accept,
