message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I'm excited to offer you this exclusive product. Considering its quality and features, I'm willing to let it go for $12000. What do you think?",12000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks Alice, but I think $12000 is too high. Can we try $6000?",6000.0,Bob,2,,
,,Alice,2,RejectOffer,10000.0
"Thanks for the offer Bob, but I can't go that low. How about we meet in the middle at $10000?",10000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks Alice, but that's still too high. How about $7000?",7000.0,Bob,4,,
,,Alice,4,RejectOffer,9000.0
"Bob, I appreciate your interest, but I'm not willing to go below a certain price. How about $9000? That's the lowest I can go.",9000.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand, Alice. But I think $9000 is still too high. Let's try $8000",8000.0,Bob,6,,
,,Alice,6,AcceptOffer,
