alice_gain,bob_gain,message,player,round,decision
700000.0,300000.0,"Let's split this fairly. I get 700k, you get 300k. Deal?",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,Meet in the middle for a fair deal.,Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"Okay, let's try this again. Considering the time that has passed, I'll adjust my offer. 600k for me, 400k for you. Take it now before it gets worse.",Alice,3,
,,,Bob,3,reject
420000.0,580000.0,"Counteroffer, slightly in my favor to account for my losses.",Bob,4,
,,,Alice,4,reject
550000.0,450000.0,"This is my final offer. I'm losing money with each passing round. 550k for me, 450k for you. Take it or leave it!",Alice,5,
,,,Bob,5,accept
