alice_gain,bob_gain,player,round,decision
5000.0,5000.0,Alice,1,
,,Bob,1,reject
4000.0,6000.0,Bob,2,
,,Alice,2,reject
4500.0,5500.0,Alice,3,
,,Bob,3,reject
3500.0,6500.0,Bob,4,
,,Alice,4,reject
4000.0,6000.0,Alice,5,
,,Bob,5,reject
3000.0,7000.0,Bob,6,
,,Alice,6,reject
3500.0,6500.0,Alice,7,
,,Bob,7,reject
2500.0,7500.0,Bob,8,
,,Alice,8,reject
3000.0,7000.0,Alice,9,
,,Bob,9,reject
2000.0,8000.0,Bob,10,
,,Alice,10,reject
2500.0,7500.0,Alice,11,
,,Bob,11,reject
1500.0,8500.0,Bob,12,
,,Alice,12,accept
