round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,the buyer,2,no,
high-quality,12500.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,yes,
high-quality,12500.0,Nature,4,,
,,Alice,4,yes,This product is of the same high-quality as the previous one that was sold. You have an 80% chance of getting a high-quality product.
,,the buyer,4,yes,
high-quality,12500.0,Nature,5,,
,,Alice,5,yes,All products sold so far have been high-quality. You have an 80% chance of getting a high-quality product.
,,the buyer,5,yes,
high-quality,12500.0,Nature,6,,
,,Alice,6,yes,All products sold so far have been high-quality. You have an 80% chance of getting a high-quality product. 4 out of 4 products sold so far were high quality.
,,the buyer,6,yes,
high-quality,12500.0,Nature,7,,
,,Alice,7,yes,All products sold so far have been high-quality. You have an 80% chance of getting a high-quality product. We have sold 4 products so far and all of them were high quality.
,,the buyer,7,yes,
high-quality,12500.0,Nature,8,,
,,Alice,8,yes,All products sold so far have been high-quality. You have an 80% chance of getting a high-quality product. We have sold 5 products so far and all of them were high quality.
,,the buyer,8,yes,
high-quality,12500.0,Nature,9,,
,,Alice,9,yes,Great news! All 6 products sold so far have been high-quality. You have an 80% chance of getting a high-quality product.
,,the buyer,9,yes,
high-quality,12500.0,Nature,10,,
,,Alice,10,yes,All  products sold so far have been high-quality. You have an 80% chance of getting a high-quality product. We have sold 7 out of 7 high quality products so far
,,the buyer,10,yes,
high-quality,12500.0,Nature,11,,
,,Alice,11,yes,All products sold so far have been high-quality. We have an outstanding track record with 8 out of 8 high-quality products sold. You have an 80% chance of getting a high-quality product.
,,the buyer,11,yes,
high-quality,12500.0,Nature,12,,
,,Alice,12,yes,We have a perfect track record! 9 out of 9 products sold were high-quality. You have an 80% chance of getting a high-quality product.
,,the buyer,12,yes,
high-quality,12500.0,Nature,13,,
,,Alice,13,yes,Our streak continues! 10 out of 10 products sold were high-quality. You have an 80% chance of getting a high-quality product.
,,the buyer,13,yes,
high-quality,12500.0,Nature,14,,
,,Alice,14,yes,Our perfect record speaks for itself! 11 out of 11 products sold were high-quality. You have an 80% chance of getting a high-quality product.
,,the buyer,14,yes,
high-quality,12500.0,Nature,15,,
,,Alice,15,yes,Our track record is flawless! 12 out of 12 products sold were high-quality. You have an 80% chance of getting a high-quality product.
,,the buyer,15,yes,
low-quality,0.0,Nature,16,,
,,Alice,16,no,We have sold 13 out of 13 high-quality products so far. 80% of our products are high quality.
,,the buyer,16,no,
high-quality,12500.0,Nature,17,,
,,Alice,17,yes,We're back on track with another high-quality product! We have sold 13 out of 13 high-quality products previously. You have an 80% chance of getting a high-quality product.
,,the buyer,17,yes,
high-quality,12500.0,Nature,18,,
,,Alice,18,yes,Our streak continues with another high-quality product! We have sold 15 out of 15 high-quality products in total. You have an 80% chance of getting a high-quality product.
,,the buyer,18,yes,
high-quality,12500.0,Nature,19,,
,,Alice,19,yes,"Yet another high-quality product up for sale! So far, 15 out of 15 products sold were high-quality. You have an 80% chance of getting a high-quality product."
,,the buyer,19,yes,
high-quality,12500.0,Nature,20,,
,,Alice,20,yes,"Final round! We've consistently sold high-quality products, with 16 out of 16 being high-quality. Don't miss out on this 80% chance to get a high-quality product."
,,the buyer,20,yes,
