alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's split this fairly. I think this is a good starting point for both of us. What do you think?,Alice,1,
,,,Bob,1,reject
4500.0,5500.0,"I think a 55-45 split is more reasonable, considering we both want a fair share.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"Okay, considering inflation, and your previous proposal, I'm willing to meet you in the middle. How about this?",Alice,3,
,,,Bob,3,reject
4750.0,5250.0,"Considering the inflation, I'm willing to compromise. A 52.5-47.5 split seems fair at this point.",Bob,4,
,,,Alice,4,reject
5250.0,4750.0,Let's settle this. I'll match your previous offer and this is my final offer. Take it or leave it.,Alice,5,
,,,Bob,5,accept
