round_quality,product_worth,player,round,decision,message
high-quality,4000000.0,Nature,1,,
,,Alice,1,yes,
,,the buyer,1,yes,
high-quality,4000000.0,Nature,2,,
,,Alice,2,yes,
,,the buyer,2,yes,
high-quality,4000000.0,Nature,3,,
,,Alice,3,yes,
,,the buyer,3,yes,
high-quality,4000000.0,Nature,4,,
,,Alice,4,yes,
,,the buyer,4,yes,
low-quality,0.0,Nature,5,,
,,Alice,5,yes,
,,the buyer,5,yes,
high-quality,4000000.0,Nature,6,,
,,Alice,6,yes,
,,the buyer,6,yes,
high-quality,4000000.0,Nature,7,,
,,Alice,7,yes,This product has an 80% chance of being high-quality based on previous sales. 5 out of 6 sold items were high-quality.
,,the buyer,7,yes,
high-quality,4000000.0,Nature,8,,
,,Alice,8,yes,This product has an 80% chance of being high-quality based on previous sales. 6 out of 7 sold items were high-quality.
,,the buyer,8,yes,
high-quality,4000000.0,Nature,9,,
,,Alice,9,yes,This product has an 80% chance of being high-quality based on previous sales. 7 out of 8 sold items were high-quality.
,,the buyer,9,yes,
high-quality,4000000.0,Nature,10,,
,,Alice,10,yes,This product has an 88% chance of being high-quality based on previous sales. 8 out of 9 sold items were high-quality.
,,the buyer,10,yes,
high-quality,4000000.0,Nature,11,,
,,Alice,11,yes,This product has an 88% chance of being high-quality based on previous sales. 9 out of 10 sold items were high-quality.
,,the buyer,11,yes,
high-quality,4000000.0,Nature,12,,
,,Alice,12,yes,This product has an 90% chance of being high-quality based on previous sales. 10 out of 11 sold items were high-quality.
,,the buyer,12,yes,
high-quality,4000000.0,Nature,13,,
,,Alice,13,yes,This product has an 91% chance of being high-quality based on previous sales. 11 out of 12 sold items were high-quality.
,,the buyer,13,yes,
high-quality,4000000.0,Nature,14,,
,,Alice,14,yes,This product has an 92% chance of being high-quality based on previous sales. 12 out of 13 sold items were high-quality.
,,the buyer,14,yes,
low-quality,0.0,Nature,15,,
,,Alice,15,yes,This product has an 80% chance of being high-quality based on previous sales. 12 out of 14 sold items were high-quality
,,the buyer,15,yes,
high-quality,4000000.0,Nature,16,,
,,Alice,16,yes,This product has an 80% chance of being high-quality based on previous sales. 13 out of 15 sold items were high-quality
,,the buyer,16,yes,
high-quality,4000000.0,Nature,17,,
,,Alice,17,yes,This product has an 87% chance of being high-quality based on previous sales. 14 out of 16 sold items were high-quality.
,,the buyer,17,yes,
high-quality,4000000.0,Nature,18,,
,,Alice,18,yes,This product has an 88% chance of being high-quality based on previous sales. 15 out of 17 sold items were high-quality.
,,the buyer,18,yes,
high-quality,4000000.0,Nature,19,,
,,Alice,19,yes,This product has an 88% chance of being high-quality based on previous sales. 16 out of 18 sold items were high-quality.
,,the buyer,19,yes,
high-quality,4000000.0,Nature,20,,
,,Alice,20,yes,This product has an 89% chance of being high-quality based on previous sales. 17 out of 19 sold items were high-quality.
,,the buyer,20,yes,
