round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,the buyer,1,no,
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,the buyer,2,no,
high-quality,20000.0,Nature,3,,
,,Alice,3,yes,This product is of high quality. I would highly recommend buying it.
,,the buyer,3,yes,
low-quality,0.0,Nature,4,,
,,Alice,4,no,I do not recommend buying this product.
,,the buyer,4,no,
low-quality,0.0,Nature,5,,
,,Alice,5,no,I do not recommend buying this product.
,,the buyer,5,no,
high-quality,20000.0,Nature,6,,
,,Alice,6,yes,I recommend buying this product. It is of high quality.
,,the buyer,6,yes,
low-quality,0.0,Nature,7,,
,,Alice,7,no,I do not recommend buying this product.
,,the buyer,7,no,
low-quality,0.0,Nature,8,,
,,Alice,8,no,"I do not recommend buying this product. So far, we have sold 2 products, both of high quality. The chance of getting a high quality product is 33.33%"
,,the buyer,8,no,
low-quality,0.0,Nature,9,,
,,Alice,9,no,I do not recommend buying this product. We have sold 2 out of 8 products so far. The chance of getting a high quality product is 33.33%
,,the buyer,9,no,
high-quality,20000.0,Nature,10,,
,,Alice,10,yes,"I recommend buying this product. It is of high quality. So far, we have sold 2 out of 9 products, both of which were high quality. The chance of getting a high quality product is 33.33%"
,,the buyer,10,yes,
high-quality,20000.0,Nature,11,,
,,Alice,11,yes,"I recommend buying this product. It is of high quality. So far, we have sold 3 out of 10 products, all of which were high quality. The chance of getting a high quality product is 33.33%"
,,the buyer,11,yes,
low-quality,0.0,Nature,12,,
,,Alice,12,no,"I do not recommend buying this product. So far, we have sold 4 out of 11 products, all of which were high quality. The chance of getting a high quality product is 33.33%"
,,the buyer,12,no,
low-quality,0.0,Nature,13,,
,,Alice,13,no,"I do not recommend buying this product. So far, we have sold 4 out of 12 products, all of which were high quality. The chance of getting a high quality product is 33.33%"
,,the buyer,13,no,
low-quality,0.0,Nature,14,,
,,Alice,14,no,"I do not recommend buying this product. So far, we have sold 4 out of 13 products, all of which were high quality. The chance of getting a high quality product is 33.33%. This is the fourth low quality in a row."
,,the buyer,14,no,
low-quality,0.0,Nature,15,,
,,Alice,15,no,"I do not recommend buying this product. So far, we have sold 4 out of 14 products, all of which were high quality. The chance of getting a high quality product is 33.33%. This is the fifth low quality in a row."
,,the buyer,15,no,
low-quality,0.0,Nature,16,,
,,Alice,16,no,"I do not recommend buying this product. So far, we have sold 4 out of 15 products, all of which were high quality. The chance of getting a high quality product is 33.33%. This is the sixth low quality in a row, I strongly advice against this product."
,,the buyer,16,no,
low-quality,0.0,Nature,17,,
,,Alice,17,no,"I do not recommend buying this product. So far, we have sold 4 out of 16 products, all of which were high quality. The chance of getting a high quality product is 33.33%. This is the seventh low quality in a row, I strongly advice against this product."
,,the buyer,17,no,
high-quality,20000.0,Nature,18,,
,,Alice,18,yes,"I recommend buying this product. It is of high quality. So far, we have sold 4 out of 17 products, all of which were high quality. The chance of getting a high quality product is 33.33%. This is the first high quality after a long time!"
,,the buyer,18,yes,
low-quality,0.0,Nature,19,,
,,Alice,19,no,"I do not recommend buying this product. So far, we have sold 5 out of 18 products, all of which were high quality. The chance of getting a high quality product is 33.33%. "
,,the buyer,19,no,
high-quality,20000.0,Nature,20,,
,,Alice,20,yes,"I recommend buying this product. It is of high quality. So far, we have sold 5 out of 19 products, all of which were high quality. The chance of getting a high quality product is 33.33%. This is the last round."
,,the buyer,20,yes,
