alice_gain,bob_gain,player,round,decision
950000.0,50000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
855000.0,145000.0,Alice,3,
,,Bob,3,reject
350000.0,650000.0,Bob,4,
,,Alice,4,reject
770000.0,230000.0,Alice,5,
,,Bob,5,reject
300000.0,700000.0,Bob,6,
,,Alice,6,reject
690000.0,310000.0,Alice,7,
,,Bob,7,reject
250000.0,750000.0,Bob,8,
,,Alice,8,reject
610000.0,390000.0,Alice,9,
,,Bob,9,reject
200000.0,800000.0,Bob,10,
,,Alice,10,reject
530000.0,470000.0,Alice,11,
,,Bob,11,reject
150000.0,850000.0,Bob,12,
,,Alice,12,accept
