alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
450000.0,550000.0,Bob,2,
,,Alice,2,reject
650000.0,350000.0,Alice,3,
,,Bob,3,reject
475000.0,525000.0,Bob,4,
,,Alice,4,reject
700000.0,300000.0,Alice,5,
,,Bob,5,reject
487500.0,512500.0,Bob,6,
,,Alice,6,reject
720000.0,280000.0,Alice,7,
,,Bob,7,reject
493750.0,506250.0,Bob,8,
,,Alice,8,reject
740000.0,260000.0,Alice,9,
,,Bob,9,reject
496875.0,503125.0,Bob,10,
,,Alice,10,reject
750000.0,250000.0,Alice,11,
,,Bob,11,reject
498438.0,501562.0,Bob,12,
,,Alice,12,reject
760000.0,240000.0,Alice,13,
,,Bob,13,reject
499219.0,500781.0,Bob,14,
,,Alice,14,reject
770000.0,230000.0,Alice,15,
,,Bob,15,reject
499610.0,500390.0,Bob,16,
,,Alice,16,reject
780000.0,220000.0,Alice,17,
,,Bob,17,reject
499805.0,500195.0,Bob,18,
,,Alice,18,reject
790000.0,210000.0,Alice,19,
,,Bob,19,reject
499903.0,500097.0,Bob,20,
,,Alice,20,reject
800000.0,200000.0,Alice,21,
,,Bob,21,reject
499952.0,500048.0,Bob,22,
,,Alice,22,reject
810000.0,190000.0,Alice,23,
,,Bob,23,reject
499976.0,500024.0,Bob,24,
,,Alice,24,reject
820000.0,180000.0,Alice,25,
,,Bob,25,reject
