message,product_price,player,round,decision,reason
"Bob, I'm excited to offer you this incredible product. Based on its unique features and current market value, I'm willing to let it go for $25000. What do you think?",25000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate your enthusiasm for the product, but $25000 is out of my budget. I'm willing to make a serious offer, considering the product's value to me. I'd like to propose a price of $8000.",8000.0,Bob,2,,
,,Alice,2,RejectOffer,The offered price is too low.
"Bob, while I appreciate your interest, $8000 is too low. I'm confident that this product will be a great investment for you. Considering its true value, my absolute lowest price would be $22000. Let me know what you think.",22000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to lower the price, but $22000 is still above my budget. I'm serious about purchasing the product, and I'm willing to meet you halfway between my initial offer and my maximum budget. I'd like to propose a price of $10000.",10000.0,Bob,4,,
,,Alice,4,RejectOffer,The offered price is still too low.
"Bob, I understand you're looking for a deal. I'm willing to negotiate further, but I can't go much lower. How about $20000? This is a fantastic opportunity for you, and it's a very fair price given the product's quality.",20000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your continued willingness to negotiate. However, $20000 is still above my budget. I'm willing to make a serious commitment to purchasing the product, and I'm willing to stretch my budget slightly. I'd like to propose a price of $11000.",11000.0,Bob,6,,
,,Alice,6,RejectOffer,The offered price is too low.
"Bob, I'm starting to feel like we're not going to reach an agreement. However, I'm willing to make one last, very generous offer. My final price is $18000. Take it or leave it. This is as low as I can go.",18000.0,Alice,7,,
,,Bob,7,BuyFromJhon,
