message,product_price,player,round,decision,counter_offer_price
"Hi Bob, I'm excited to offer you a chance to purchase this amazing product. Based on its value, I'm offering it to you for a price of...",20000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, that's a bit steep for me. While I see the value, I'm only willing to go up to $8000 for this. Let's see if we can work something out.",8000.0,Bob,2,,
,,Alice,2,RejectOffer,18000.0
"Bob, I appreciate your offer, but based on the product's value, I can't go that low. How about we meet in the middle? I'm willing to offer it to you for...",18000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I understand your perspective, but $18000 is still too high for me. I'm willing to go up to $10000, which is a significant increase from my initial offer. Let's try to find some common ground.",10000.0,Bob,4,,
,,Alice,4,RejectOffer,16000.0
"Bob, I understand your budget constraints. However, considering the product's unique features, I am willing to lower the price to...",16000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate you coming down a bit, but $16000 is still outside my budget. I'm firm on my offer of $10000. This is a fair price considering the value we both see in this product. Let's make this deal happen.",10000.0,Bob,6,,
,,Alice,6,RejectOffer,15500.0
"Bob, I'm willing to come down a bit further, considering your continued interest. The lowest I can realistically go is...",15500.0,Alice,7,,
,,Bob,7,BuyFromJhon,
