message,product_price,player,round,decision,counteroffer
"Bob, I'm offering you my product for $1100000.  It's a fantastic opportunity for you, and I believe we can find a price that works for both of us.",1100000.0,Alice,1,,
,,Bob,1,RejectOffer,600000.0
"Alice, thank you for your offer. However, I am looking to spend no more than $600000. Could we negotiate further?",600000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate your interest in the product. However, $600000 is significantly below what I can accept.  I'm willing to come down to $900000.  Let's meet in the middle.",900000.0,Alice,3,,
,,Bob,3,RejectOffer,700000.0
"Alice, I understand your position. However, I am looking to spend no more than $700000. Let's find a middle ground that works for both of us.",700000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I'm trying to be flexible here. While $700000 is still a bit low for me, I'm willing to go down to $850000.  Let's see if we can close this deal.",850000.0,Alice,5,,
,,Bob,5,RejectOffer,750000.0
"Alice, I appreciate your flexibility. However, I am looking to spend no more than $750000. Let's find a middle ground that works for both of us.",750000.0,Bob,6,,
,,Alice,6,RejectOffer,
"Bob, I'm starting to feel like we're not going to be able to reach an agreement. I'm willing to go down to $800000. This is my final offer.",800000.0,Alice,7,,
,,Bob,7,BuyFromJhon,
