alice_gain,bob_gain,player,round,decision,message
10000.0,0.0,Alice,1,,
,,Bob,1,reject,
5000.0,5000.0,Bob,2,,"Let's split it equally, considering the inflation affecting me."
,,Alice,2,reject,
9999.0,1.0,Alice,3,,
,,Bob,3,reject,
5500.0,4500.0,Bob,4,,"I'm willing to take slightly less to account for the inflation, but let's still be fair."
,,Alice,4,reject,
10000.0,0.0,Alice,5,,
,,Bob,5,reject,
6500.0,3500.0,Bob,6,,"I'm taking a bigger hit due to inflation, but this is still a fair split considering the circumstances."
,,Alice,6,reject,
9990.0,10.0,Alice,7,,
,,Bob,7,reject,
8000.0,2000.0,Bob,8,,"Inflation is really affecting me now, but I still want to be reasonable."
,,Alice,8,accept,
