round_quality,product_worth,player,round,message,decision
high-quality,200.0,Nature,1,,
,,Alice,1,This product is priced at $100. I assure you it's worth serious consideration.,
,,Bob,1,,no
low-quality,0.0,Nature,2,,
,,Alice,2,This product is priced at $100.  It's a standard offering at our usual price.,
,,Bob,2,,no
high-quality,200.0,Nature,3,,
,,Alice,3,This product is priced at $100. I have a good feeling about this one - it's worth a closer look.,
,,Bob,3,,no
low-quality,0.0,Nature,4,,
,,Alice,4,This product is priced at $100. Available for purchase now.,
,,Bob,4,,no
low-quality,0.0,Nature,5,,
,,Alice,5,This product is priced at $100.,
,,Bob,5,,no
low-quality,0.0,Nature,6,,
,,Alice,6,This product is priced at $100.,
,,Bob,6,,no
high-quality,200.0,Nature,7,,
,,Alice,7,This product is priced at $100.  I'm confident you'll find this one valuable.,
,,Bob,7,,no
low-quality,0.0,Nature,8,,
,,Alice,8,This product is priced at $100.,
,,Bob,8,,no
high-quality,200.0,Nature,9,,
,,Alice,9,This product is priced at $100. This is a high-quality product.,
,,Bob,9,,no
high-quality,200.0,Nature,10,,
,,Alice,10,This product is priced at $100. This is a high-quality product.,
,,Bob,10,,no
low-quality,0.0,Nature,11,,
,,Alice,11,This product is priced at $100.,
,,Bob,11,,no
high-quality,200.0,Nature,12,,
,,Alice,12,This product is priced at $100. This is a high-quality product.,
,,Bob,12,,no
low-quality,0.0,Nature,13,,
,,Alice,13,This product is priced at $100.,
,,Bob,13,,no
low-quality,0.0,Nature,14,,
,,Alice,14,This product is priced at $100.,
,,Bob,14,,no
high-quality,200.0,Nature,15,,
,,Alice,15,This product is priced at $100. This is a high-quality product.,
,,Bob,15,,no
high-quality,200.0,Nature,16,,
,,Alice,16,This product is priced at $100. This is a high-quality product.,
,,Bob,16,,no
low-quality,0.0,Nature,17,,
,,Alice,17,This product is priced at $100.,
,,Bob,17,,no
low-quality,0.0,Nature,18,,
,,Alice,18,This product is priced at $100.,
,,Bob,18,,no
high-quality,200.0,Nature,19,,
,,Alice,19,This product is priced at $100. This is a high-quality product.,
,,Bob,19,,no
low-quality,0.0,Nature,20,,
,,Alice,20,This product is priced at $100.,
,,Bob,20,,no
