message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm selling this product. I think you'll really like it! I'm offering it to you for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer! The product sounds great, but $110 is a bit more than I was hoping to spend. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"Thanks for the quick response, Bob! I appreciate your interest. How about we meet in the middle at $100?",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for the counteroffer, Alice. I'm still trying to save some money. Would you be willing to go down to $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,98.0
"Bob, how about $98? That's my final offer.",98.0,Alice,5,,
,,Bob,5,AcceptOffer,
