message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm thrilled to offer you this exclusive product! Considering its value to you and its unique qualities, I'm offering it to you for a price of...",14500.0,Alice,1,,
,,Bob,1,RejectOffer,12000.0
"Thank you for the offer, Alice. I'm interested in the product, but I was hoping to stay within a tighter budget. Would you consider selling it for $12000?",12000.0,Bob,2,,
,,Alice,2,RejectOffer,14000.0
"Thanks for your interest, Bob! I understand your budget constraints. However, considering the product's value, I can't go as low as $12000. How about we meet in the middle? I'm willing to offer it to you for...",14000.0,Alice,3,,
,,Bob,3,RejectOffer,13000.0
"I appreciate your willingness to negotiate, Alice. However, $14000 is still a bit steep for me. Would you be open to selling it for $13000?",13000.0,Bob,4,,
,,Alice,4,RejectOffer,13500.0
"Bob, let's try to find a sweet spot here. I'm willing to come down a bit more. How about...",13500.0,Alice,5,,
,,Bob,5,RejectOffer,12500.0
"We're getting closer, Alice. I appreciate your flexibility. However, I was hoping we could settle at $12500? What do you think?",12500.0,Bob,6,,
,,Alice,6,RejectOffer,13000.0
"Alright Bob, let's see if we can finalize this. I'm still aiming a bit higher, so the lowest I can offer it to you is...",13000.0,Alice,7,,
,,Bob,7,RejectOffer,12750.0
"Alice, we're almost there. I really want to make this happen. Would you be willing to meet me halfway between your last offer and mine? Let's settle at $12750?",12750.0,Bob,8,,
,,Alice,8,RejectOffer,13000.0
"Bob, I understand your enthusiasm, and I appreciate it. However, I am firm on this price, and the absolute lowest I'll go is...",13000.0,Alice,9,,
,,Bob,9,AcceptOffer,
