message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm selling this awesome product! I think you'll really like it. How about $140?",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for the offer. I'm interested in the product, but I think $100 is a more reasonable price. What do you think?",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"Thanks for the counteroffer, Bob. I'm willing to come down a bit. How about $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your flexibility, Alice. But I think a fair price would be $110. How does that sound?",110.0,Bob,4,,
,,Alice,4,RejectOffer,120.0
"Alright Bob, let's meet in the middle. How about $120?",120.0,Alice,5,,
,,Bob,5,AcceptOffer,
