alice_gain,bob_gain,message,player,round,decision
50.0,50.0,Let's start with an equal split. I believe fairness is the best approach!,Alice,1,
,,,Bob,1,reject
45.0,55.0,I think I should get a bit more since I took the risk of rejecting your initial offer and inflation is affecting me.,Bob,2,
,,,Alice,2,reject
48.0,52.0,"I understand your perspective. This is a little better for you, but still a good split for both of us.",Alice,3,
,,,Bob,3,reject
40.0,60.0,"Inflation is really affecting me now, so I need to secure more. This is still a good deal for you, Alice.",Bob,4,
,,,Alice,4,reject
46.0,54.0,"I'm willing to give you a bit more this time, considering the situation. Let's make this work!",Alice,5,
,,,Bob,5,accept
