message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm offering my product to you for $95. It's a great value and I think you'll be very happy with it.",95.0,Alice,1,,
,,Bob,1,RejectOffer,70.0
"Thank you for your offer, Alice, but I'm looking to spend no more than $70. Would you be willing to match this price?",70.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I understand that you're looking to spend less, but I think the product is worth more. Let's meet in the middle at $85. It's a fair price for both of us.",85.0,Alice,3,,
,,Bob,3,RejectOffer,75.0
"I appreciate your willingness to negotiate, Alice. However, I'd like to offer $75 for the product. It's a bit closer to what I'm looking to spend.",75.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I'm willing to come down a bit more, but I think $80 is a reasonable price for the product. It's a great value for you and it meets my bottom line.",80.0,Alice,5,,
,,Bob,5,RejectOffer,77.0
"Alice, I understand that you're trying to meet your bottom line. I'm willing to raise my offer to $77. It's a fair price for both of us.",77.0,Bob,6,,
,,Alice,6,SellToJhon,
