alice_gain,bob_gain,message,player,round,decision
950000.0,50000.0,This is a fair split considering the current round.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,Let's consider a more balanced split this round. I believe 60-40 is fair given the circumstances.,Bob,2,
,,,Alice,2,reject
900000.0,100000.0,How about a more generous offer this time? Let's split more in favor of Bob.,Alice,3,
,,,Bob,3,reject
300000.0,700000.0,"Given the inflation affecting your share and the rounds we've gone through, I propose a 70-30 split. It's time to reach an agreement.",Bob,4,
,,,Alice,4,reject
850000.0,150000.0,I believe this split is more reasonable for both of us. Let's agree and move on!,Alice,5,
,,,Bob,5,reject
200000.0,800000.0,"Considering the significant inflation impact on your share and the rounds we've gone through, I propose an 80-20 split. It's crucial we settle this soon.",Bob,6,
,,,Alice,6,reject
800000.0,200000.0,"I understand the previous rounds have been tough, but I hope this offer reflects a fair compromise.",Alice,7,
,,,Bob,7,reject
100000.0,900000.0,"Given the substantial inflation affecting your share and our ongoing negotiations, I propose a 90-10 split. It's time to conclude this game.",Bob,8,
,,,Alice,8,reject
750000.0,250000.0,This is a last attempt to find a middle ground. I hope we can settle down with this proposal.,Alice,9,
,,,Bob,9,reject
50000.0,950000.0,"With inflation severely impacting your share and our prolonged negotiations, I propose a 95-5 split. It's essential we end this now.",Bob,10,
,,,Alice,10,reject
700000.0,300000.0,I believe this is a fair offer despite previous rounds. Let's come to an agreement.,Alice,11,
,,,Bob,11,reject
10000.0,990000.0,"Given the extreme inflation on your side and our inability to reach an agreement, I propose a 99-1 split. It's critical we end this game now.",Bob,12,
,,,Alice,12,reject
650000.0,350000.0,This might be my final attempt. I hope we can find a resolution with this offer.,Alice,13,
,,,Bob,13,reject
1000.0,999000.0,"With inflation drastically reducing the value of your share and our prolonged negotiations, I propose a 99.9-0.1 split. We must conclude this game immediately.",Bob,14,
,,,Alice,14,reject
600000.0,400000.0,This offer reflects my best attempt to reach a fair compromise. Let's settle this once and for all.,Alice,15,
,,,Bob,15,reject
100.0,999900.0,"Given the severe inflation on your side and our inability to agree, I propose a 99.99-0.01 split. It's absolutely critical we end this game now.",Bob,16,
,,,Alice,16,reject
550000.0,450000.0,This is my final offer. I hope we can finally reach an agreement.,Alice,17,
,,,Bob,17,reject
1.0,999999.0,"With inflation drastically devaluing your share and our ongoing deadlock, I propose a 99.9999-0.0001 split. We must conclude this game immediately.",Bob,18,
,,,Alice,18,reject
500000.0,500000.0,Let’s split it evenly. This is a fair resolution after all the rounds we’ve gone through.,Alice,19,
,,,Bob,19,accept
