message,product_price,player,round,decision
Hello Bob! I’m excited to offer you a unique product that I believe will greatly benefit you. I’m selling it for $1200000. Let me know if you're interested!,1200000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for your offer. I'm interested in the product, but I was thinking of a lower price. Would you be willing to sell it to me for $900000?",900000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I appreciate your interest in the product and your counteroffer. However, I’m looking for a price that reflects its true value. How about I sell it to you for $1100000? Let me know your thoughts!",1100000.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, thank you for considering my previous offer and for your new proposal. I'm still interested in the product, but I was thinking we could meet in the middle between my previous offer and your new one. Would you be willing to sell it to me for $1000000?",1000000.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, thank you for your continued interest in the product. I understand your position, but I believe it is worth a bit more. How about I sell it to you for $1050000? Looking forward to your response!",1050000.0,Alice,5,
,,Bob,5,AcceptOffer
