message,product_price,player,round,decision,counteroffer
"Hi Bob, I'd like to offer you my product for $95. It's a great value and I think you'll be very happy with it.",95.0,Alice,1,,
,,Bob,1,RejectOffer,70.0
"Thanks for the offer, Alice, But I am looking for a better deal,  How about $70?",70.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I understand that you're looking for a better deal, but $70 is too low for me. Let's meet in the middle at $85. It's a fair price for both of us.",85.0,Alice,3,,
,,Bob,3,RejectOffer,75.0
"I appreciate your effort to meet in the middle, but I'm looking to spend even less. How about $75?",75.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I'm afraid $75 is still too low for me. Let's settle for $82, and we'll both walk away happy.",82.0,Alice,5,,
,,Bob,5,RejectOffer,78.0
"We're getting closer, but I think $78 is a fairer price. What do you think?",78.0,Bob,6,,
,,Alice,6,RejectOffer,
"Bob, we're indeed very close. Let's make a deal at $81, and we'll both be satisfied with the outcome.",81.0,Alice,7,,
,,Bob,7,RejectOffer,79.0
I'm willing to increase my counter-offer to $79. Let's close the deal.,79.0,Bob,8,,
,,Alice,8,SellToJhon,
