alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's be reasonable and split it 60/40, a fair start",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"My turn, a bit more balanced, let's end this quickly",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"My turn to balance it, let's meet in the middle soon",Alice,3,
,,,Bob,3,reject
480000.0,520000.0,"Getting closer to a fair split, consider this one",Bob,4,
,,,Alice,4,reject
520000.0,480000.0,"Let's not drag this out, a slight edge for me is reasonable",Alice,5,
,,,Bob,5,accept
