round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"This product has a chance to be a high-quality item that you will love! Remember, there's always a 33.33% chance it could be exactly what you're looking for.",
,,Bob,1,,yes
low-quality,0.0,Nature,2,,
,,Alice,2,Another great opportunity! Keep in mind the odds and the potential value. Will this be the high-quality item you're hoping for?,
,,Bob,2,,yes
low-quality,0.0,Nature,3,,
,,Alice,3,Third time's a charm! You never know when you'll hit that 33.33% chance for a high-quality item. Could this be it?,
,,Bob,3,,yes
high-quality,125.0,Nature,4,,
,,Alice,4,"Here's another product for you! With a 33.33% chance of being high-quality, it could be just what you're looking for. Will you take the chance?",
,,Bob,4,,yes
low-quality,0.0,Nature,5,,
,,Alice,5,Keep those odds in mind! Each product has that 33.33% chance of being high-quality. Will you find the valuable item this time?,
,,Bob,5,,yes
high-quality,125.0,Nature,6,,
,,Alice,6,"Another round, another chance! Remember, there's a 33.33% shot at getting a high-quality product. Could this be your lucky moment?",
,,Bob,6,,yes
low-quality,0.0,Nature,7,,
,,Alice,7,Feeling lucky? Each product has that 33.33% chance of being high-quality. Will this be the one that meets your expectations?,
,,Bob,7,,yes
low-quality,0.0,Nature,8,,
,,Alice,8,Keep that 33.33% chance in mind! This product could be the high-quality item you're looking for. Will you take the chance again?,
,,Bob,8,,yes
high-quality,125.0,Nature,9,,
,,Alice,9,"Another opportunity awaits! With a 33.33% chance of being high-quality, this product could be a great find. Will you go for it?",
,,Bob,9,,yes
high-quality,125.0,Nature,10,,
,,Alice,10,Here's another product for you! Remember the 33.33% chance of it being high-quality. Could this be another valuable item?,
,,Bob,10,,yes
high-quality,125.0,Nature,11,,
,,Alice,11,"Your next potential high-quality product is here! Keeping the 33.33% chance in mind, will you take this opportunity?",
,,Bob,11,,yes
low-quality,0.0,Nature,12,,
,,Alice,12,"Another round, another chance! Remember, each product has a 33.33% possibility of being high-quality. Will this be the one?",
,,Bob,12,,yes
high-quality,125.0,Nature,13,,
,,Alice,13,"Next up! With a 33.33% chance of being high-quality, this product could be another great find. Will you take the chance?",
,,Bob,13,,yes
low-quality,0.0,Nature,14,,
,,Alice,14,Here we go again! Keep in mind the 33.33% chance of this product being high-quality. Will this be the valuable item you're hoping for?,
,,Bob,14,,yes
high-quality,125.0,Nature,15,,
,,Alice,15,"Another product up for grabs! With a 33.33% chance of being high-quality, will this be your next great find?",
,,Bob,15,,yes
high-quality,125.0,Nature,16,,
,,Alice,16,Next opportunity! Remember the 33.33% chance of getting a high-quality product. Could this be another valuable item for you?,
,,Bob,16,,yes
low-quality,0.0,Nature,17,,
,,Alice,17,"Another round, another chance! Each product has that 33.33% possibility of being high-quality. Will you find the valuable item this time?",
,,Bob,17,,yes
low-quality,0.0,Nature,18,,
,,Alice,18,Keep those odds in mind! This product has a 33.33% chance of being high-quality. Will it be the one that meets your expectations?,
,,Bob,18,,yes
low-quality,0.0,Nature,19,,
,,Alice,19,Feeling lucky? This product has a 33.33% chance of being high-quality. Will this be the one that you've been looking for?,
,,Bob,19,,yes
high-quality,125.0,Nature,20,,
,,Alice,20,"Final round! With a 33.33% chance of being high-quality, this product could be a great way to end. Will you take the chance one last time?",
,,Bob,20,,yes
