alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"Let's make a deal! I'll give you 100k, and we both walk away happy with a great return. This is a good offer for you, Bob!",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Let's split it fairly, considering the decreasing value",Bob,2,
,,,Alice,2,reject
800000.0,200000.0,"Bob, you rejected a good offer. This is still a good one, but it's not getting better for you. Take 200k and let's be done with this.",Alice,3,
,,,Bob,3,reject
500000.0,500000.0,"Equal split, considering the decreasing value for me. It's a fair deal",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,Last chance before I start taking more. Take 300k and let's end this. You're losing value with each round.,Alice,5,
,,,Bob,5,reject
550000.0,450000.0,"Still a good deal for both, considering the value drop for me. Let's end this",Bob,6,
,,,Alice,6,reject
650000.0,350000.0,"Okay, Bob, this is the last round I'm budging much. Take 350k or I'm going to start getting more. Time is running out!",Alice,7,
,,,Bob,7,reject
580000.0,420000.0,"Final offer, Alice. I'm taking a big hit due to inflation. Let's settle before it's too late",Bob,8,
,,,Alice,8,reject
600000.0,400000.0,"Bob, this is it. I'm giving you 400k. Take it or we both lose. Last offer.",Alice,9,
,,,Bob,9,accept
