alice_gain,bob_gain,message,player,round,decision
90.0,10.0,I think this is a fair start. Let's see what you think.,Alice,1,
,,,Bob,1,reject
40.0,60.0,"Let's be reasonable, Alice. I need more to offset the inflation.",Bob,2,
,,,Alice,2,reject
80.0,20.0,"I understand inflation is a factor, Bob, but this is still a fair compromise. Let's work together to find a solution.",Alice,3,
,,,Bob,3,reject
45.0,55.0,"Alice, I'm being reasonable. Inflation is eating away at my potential gains. Let's get this done.",Bob,4,
,,,Alice,4,reject
75.0,25.0,"Bob, we need to find a solution that works for both of us. This offer is a step towards that. Let's reach an agreement before inflation takes a bigger bite out of our gains.",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Alice, this is a fair split given the inflation. Let's just accept and move on.",Bob,6,
,,,Alice,6,accept
