message,product_price,player,round,decision,counter_offer_price
"Bob, I'm excited to offer you the exclusive opportunity to acquire this exceptional product. Considering its unique value and the effort required to bring it to market, I'm offering it to you for $2000000.",2000000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate your offer, but the price is too high for my budget. I'm prepared to offer $750000 for the product, considering its value and market conditions.",750000.0,Bob,2,,
,,Alice,2,RejectOffer,1900000.0
"Bob, while I understand your budget constraints, I believe the product's value far exceeds your current offer. I'm willing to meet you in the middle, but I can't go too low. My final offer is $1900000. This is a premium asset, and I'm confident you'll see the long-term benefits.",1900000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, thank you for your revised offer, but it is still beyond my means. Considering my budget limitations, I can increase my offer to $800000. I hope we can find a mutually agreeable price.",800000.0,Bob,4,,
,,Alice,4,RejectOffer,1800000.0
"Bob, I understand your position, but I need to protect my investment. My absolute lowest offer is $1800000. This is a unique opportunity, and I believe this price reflects its true value. This is a final offer.",1800000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
