message,product_price,player,round,decision,counter_offer
"Hi Bob, thanks for your interest. I’m offering this high-quality product for $15000. Let me know if that works for you or if you’d like to discuss further.",15000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice.  $15000 is a bit high for me. I'm willing to pay $10000 for the product. Let's see if we can make this work.",10000.0,Bob,2,,
,,Alice,2,RejectOffer,13000.0
"Hi Bob, I appreciate your offer. However, given the value and quality of this product, I believe $13000 is a fair price. Let me know if we can agree on this, or we can continue exploring options.",13000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I understand your perspective, but $13000 is still a bit too high for me. I'm happy to meet you in the middle at $11500.  Let's see if we can close this deal.",11500.0,Bob,4,,
,,Alice,4,RejectOffer,12500.0
"Hi Bob, thanks for your flexibility. I can meet you at $12500 for the product. I believe this price reflects both the quality of the product and the value it represents. Let me know if we can finalize the deal at this rate.",12500.0,Alice,5,,
,,Bob,5,AcceptOffer,
