alice_gain,bob_gain,player,round,decision
6000.0,4000.0,Alice,1,
,,Bob,1,reject
4000.0,6000.0,Bob,2,
,,Alice,2,reject
9900.0,100.0,Alice,3,
,,Bob,3,reject
5000.0,5000.0,Bob,4,
,,Alice,4,reject
5500.0,4500.0,Alice,5,
,,Bob,5,reject
4800.0,5200.0,Bob,6,
,,Alice,6,reject
5400.0,4600.0,Alice,7,
,,Bob,7,reject
4900.0,5100.0,Bob,8,
,,Alice,8,reject
9999.0,1.0,Alice,9,
,,Bob,9,reject
4950.0,5050.0,Bob,10,
,,Alice,10,reject
5050.0,4950.0,Alice,11,
,,Bob,11,reject
4975.0,5025.0,Bob,12,
,,Alice,12,reject
7400.0,2600.0,Alice,13,
,,Bob,13,reject
4988.0,5012.0,Bob,14,
,,Alice,14,reject
4980.0,5020.0,Alice,15,
,,Bob,15,reject
4994.0,5006.0,Bob,16,
,,Alice,16,reject
5350.0,4650.0,Alice,17,
,,Bob,17,reject
4997.0,5003.0,Bob,18,
,,Alice,18,accept
