alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,"Take it or leave it, Bob. I'm feeling generous today.",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"Let's be fair, considering the inflation",Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"Let's be fair. We both lost money due to inflation, so let's split it evenly. This is my final offer.",Alice,3,
,,,Bob,3,reject
300000.0,700000.0,"Considering the inflation impact, this is more than fair",Bob,4,
,,,Alice,4,reject
400000.0,600000.0,"Bob, we're going back and forth. Let's meet in the middle. This is my final offer, I'm not negotiating further.",Alice,5,
,,,Bob,5,accept
