message,product_price,player,round,decision,counteroffer_price
"Bob, I'm excited about the prospect of you acquiring this exceptional product. Given its unique capabilities and potential to significantly enhance your operations, I'm offering it to you for $1200000.",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate the offer, but $1200000 is above my budget. I'm interested in the product and willing to make a serious offer. Considering the product's value to me, I'd like to propose a price of $600000.",600000.0,Bob,2,,
,,Alice,2,RejectOffer,1100000.0
"Bob, I understand your budget concerns. However, the product's unique features and the value it brings justify a higher price. I'm willing to come down from my initial offer. How about $1100000?",1100000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to lower the price. However, $1100000 is still above what I'm comfortable paying. I'm willing to increase my previous offer to meet you halfway. I'd like to propose a price of $700000.",700000.0,Bob,4,,
,,Alice,4,RejectOffer,1000000.0
"Bob, I appreciate you meeting me halfway. I'm also willing to compromise further. I can offer it to you for $1000000. This is the lowest I can realistically go while still accounting for the inherent value and potential return on investment the product offers.",1000000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
