message,product_price,player,round,decision,counteroffer_price
"Hi Bob, I'm selling this incredible product. Given its quality and uniqueness, I'm offering it to you for $16000.",16000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, I appreciate the offer, but $16000 is a bit out of my budget. I'm willing to pay $6000 for the product.",6000.0,Bob,2,,
,,Alice,2,RejectOffer,14000.0
"Bob, I understand your budget constraints, but the product is quite valuable. How about we meet at $14000?",14000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate the discount, but $14000 is still above my budget. I'm willing to pay $7000 for the product, which is a bit higher than my initial offer.",7000.0,Bob,4,,
,,Alice,4,RejectOffer,13000.0
"Bob, I'm trying to be flexible, and I appreciate you coming up a bit. Considering the product's quality, and the value you'll get, my final offer is $13000. This is my absolute lowest price.",13000.0,Alice,5,,
,,Bob,5,BuyFromJhon,
