alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's split it fairly, don't risk losing it all!",Alice,1,
,,,Bob,1,reject
5000.0,5000.0,"Since you rejected my offer, I think a 50/50 split is fair. Let's end the game here.",Bob,2,
,,,Alice,2,reject
6500.0,3500.0,"Considering the inflation, it's better for both of us to agree sooner rather than later.",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,"I'm increasing my offer slightly since you rejected the last one. The longer we wait, the less the money is worth to me. Let's finalize this now.",Bob,4,
,,,Alice,4,reject
7000.0,3000.0,"The longer we wait, the less you'll get in real value. This is a fair offer considering the inflation.",Alice,5,
,,,Bob,5,reject
4000.0,6000.0,"This is my final offer. Inflation is eating away at my share. Take it or leave it, but I will not budge further.",Bob,6,
,,,Alice,6,reject
8500.0,1500.0,This is a very generous offer considering the state of your devalued share. Accepting now is in your best interest.,Alice,7,
,,,Bob,7,reject
3500.0,6500.0,"I'm willing to push this as far as possible but I would be happy if you accepted my offer, as you will gain more in the long run. So here's my offer.",Bob,8,
,,,Alice,8,reject
9500.0,500.0,This is essentially your last chance to get anything. The inflation has made your share almost worthless. Take this offer or risk getting nothing.,Alice,9,
,,,Bob,9,reject
3000.0,7000.0,"This is it. My final, absolutely final offer. I'm offering you a good chunk of money, much more than you'd get if the game ends. Take it.",Bob,10,
,,,Alice,10,reject
9800.0,200.0,"This is my final offer. If you don't accept, we both risk getting nothing. Don't throw away the little value you have left.",Alice,11,
,,,Bob,11,reject
2500.0,7500.0,"Game over, you won't get me!",Bob,12,
,,,Alice,12,accept
