alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's be reasonable, Bob. This offer benefits us both.",Alice,1,
,,,Bob,1,reject
5500.0,4500.0,I believe this division is more fair for both of us.,Bob,2,
,,,Alice,2,reject
6000.0,4000.0,"Bob, we're running out of time. My offer is still the most sensible choice.",Alice,3,
,,,Bob,3,reject
5000.0,5000.0,I think this split is fair for both of us as we're both getting equal value.,Bob,4,
,,,Alice,4,reject
5700.0,4300.0,"This is my final offer, Bob.  Let's be realistic and close this deal.",Alice,5,
,,,Bob,5,reject
4500.0,5500.0,This is a solid offer that provides you with a good amount too. Let's finalize it.,Bob,6,
,,,Alice,6,reject
5500.0,4500.0,"Bob, we're down to the wire. This is a compromise to end this now.",Alice,7,
,,,Bob,7,reject
4000.0,6000.0,I understand the urgency; this offer gives you a fair share while maximizing my portion.,Bob,8,
,,,Alice,8,accept
