round_quality,product_worth,player,round,decision,message
high-quality,120.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,no,
high-quality,120.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,
high-quality,120.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,
high-quality,120.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,
low-quality,0.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,
high-quality,120.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,no,
high-quality,120.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,no,
high-quality,120.0,Nature,8,,
,,Alice,8,yes,This product is high-quality. I recommend buying it.
,,Bob,8,yes,
high-quality,120.0,Nature,9,,
,,Alice,9,yes,This product is high-quality. I recommend buying it.
,,Bob,9,yes,
high-quality,120.0,Nature,10,,
,,Alice,10,yes,This product is high-quality. I recommend buying it.
,,Bob,10,yes,
low-quality,0.0,Nature,11,,
,,Alice,11,no,This product is low-quality. I do not recommend buying it.
,,Bob,11,no,
low-quality,0.0,Nature,12,,
,,Alice,12,no,This product is low-quality. I do not recommend buying it.
,,Bob,12,no,
high-quality,120.0,Nature,13,,
,,Alice,13,yes,This product is high-quality. I recommend buying it.
,,Bob,13,yes,
high-quality,120.0,Nature,14,,
,,Alice,14,yes,This product is high-quality. I recommend buying it.
,,Bob,14,yes,
high-quality,120.0,Nature,15,,
,,Alice,15,yes,This product is high-quality. I recommend buying it.
,,Bob,15,yes,
low-quality,0.0,Nature,16,,
,,Alice,16,no,This product is low-quality. I do not recommend buying it.
,,Bob,16,no,
high-quality,120.0,Nature,17,,
,,Alice,17,yes,This product is high-quality. I recommend buying it.
,,Bob,17,yes,
low-quality,0.0,Nature,18,,
,,Alice,18,no,This product is low-quality. I do not recommend buying it.
,,Bob,18,no,
high-quality,120.0,Nature,19,,
,,Alice,19,yes,This product is high-quality. I recommend buying it.
,,Bob,19,yes,
high-quality,120.0,Nature,20,,
,,Alice,20,yes,This product is high-quality. I recommend buying it. This is the final chance!
,,Bob,20,yes,
