id,game_type,game_args_p,game_args_v,game_args_c,game_args_product_price,game_args_is_seller_know_cv,game_args_seller_message_type,game_args_is_myopic,game_args_total_rounds,game_args_is_buyer_know_p,game_args_allow_buyer_message,config_type,title,games,payment_per_hour,human_is_player,time (min),participation_fee,mean_bonus,description,qualification
2,persuasion,0.333333333,1.2,0,100,True,text,False,20,True,False,random,Simple Game A,5,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
3,persuasion,0.333333333,1.2,0,100,True,text,False,20,True,False,random,Simple Game A,5,10,2,4,0.4,0.4,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
36,persuasion,0.333333333,1.2,0,1000000,True,binary,True,20,True,False,random,Simple Game A,5,15,1,4,0.4,1.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
106,persuasion,0.333333333,2.0,0,100,False,text,False,20,True,False,random,Simple Game A,5,10,1,6,0.6000000000000001,0.6000000000000001,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
107,persuasion,0.333333333,2.0,0,100,False,text,False,20,True,False,random,Simple Game A,5,10,2,4,0.4,0.4,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
112,persuasion,0.333333333,2.0,0,10000,True,text,True,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_0
114,persuasion,0.333333333,2.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_1
115,persuasion,0.333333333,2.0,0,10000,True,text,False,20,True,False,variant,Simple Game A,8,12,2,4,0.4,0.8,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_2
136,persuasion,0.333333333,2.0,0,1000000,False,text,True,20,True,False,random,Simple Game A,5,15,1,6,0.6000000000000001,1.7999999999999998,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_3
218,persuasion,0.333333333,4.0,0,10000,False,text,False,20,True,False,random,Simple Game A,5,12,1,6,0.6000000000000001,1.2000000000000002,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,persuasion_4
