id,game_type,player_1_args_delta,player_2_args_delta,game_args_money_to_divide,game_args_max_rounds,game_args_complete_information,game_args_messages_allowed,config_type,time (min),title,games,payment_per_hour,human_is_player,participation_fee,mean_bonus,description,qualification
16,bargaining,1,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
17,bargaining,1,1,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
64,bargaining,1,0.95,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
65,bargaining,1,0.95,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
66,bargaining,1,0.95,10000,99,TRUE,FALSE,random,1,Simple Game C,15,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
67,bargaining,1,0.95,10000,99,TRUE,FALSE,random,1,Simple Game C,15,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
112,bargaining,1,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
113,bargaining,1,0.9,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
118,bargaining,1,0.9,10000,99,FALSE,FALSE,random,1,Simple Game C,15,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
119,bargaining,1,0.9,10000,99,FALSE,FALSE,random,1,Simple Game C,15,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
152,bargaining,1,0.8,100,12,TRUE,TRUE,random,1,Simple Game C,15,10,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
153,bargaining,1,0.8,100,12,TRUE,TRUE,random,1,Simple Game C,15,10,2,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_1
160,bargaining,1,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_2
161,bargaining,1,0.8,10000,99,TRUE,TRUE,variant,1,Simple Game C,25,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_3
172,bargaining,1,0.8,10000,12,FALSE,TRUE,random,1,Simple Game C,15,12,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_4
173,bargaining,1,0.8,10000,12,FALSE,TRUE,random,1,Simple Game C,15,12,2,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,rubinstein_0
