id,game_type,game_args_seller_value,game_args_buyer_value,game_args_product_price_order,game_args_max_rounds,game_args_messages_allowed,game_args_complete_information,config_type,title,games,payment_per_hour,human_is_player,time (min),participation_fee,mean_bonus,description,qualification
22,negotiation,0.8,0.8,10000,10,False,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
23,negotiation,0.8,0.8,10000,10,False,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
74,negotiation,0.8,1.0,10000,30,True,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
75,negotiation,0.8,1.0,10000,30,True,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
78,negotiation,0.8,1.0,10000,30,False,False,random,Simple Game B,15,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
79,negotiation,0.8,1.0,10000,30,False,False,random,Simple Game B,15,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
120,negotiation,0.8,1.2,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
121,negotiation,0.8,1.2,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
178,negotiation,0.8,1.5,1000000,10,True,False,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
179,negotiation,0.8,1.5,1000000,10,True,False,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
182,negotiation,0.8,1.5,1000000,10,False,False,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
183,negotiation,0.8,1.5,1000000,10,False,False,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
216,negotiation,1.0,0.8,10000,30,True,True,variant,Simple Game B,25,12,1,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_2
217,negotiation,1.0,0.8,10000,30,True,True,variant,Simple Game B,25,12,2,1,0.1,0.2,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_3
224,negotiation,1.0,0.8,1000000,10,True,True,random,Simple Game B,15,15,1,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_4
225,negotiation,1.0,0.8,1000000,10,True,True,random,Simple Game B,15,15,2,1,0.1,0.3,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_0
248,negotiation,1.0,1.0,100,30,True,True,random,Simple Game B,15,10,1,1,0.1,0.1,You will play a simple game as part of research study. A higher bonus will be awarded based on your performance in the game (compared to other participants).,negotiation_1
