alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Hi Bob, I propose we split the million with me taking 60% and you getting 40%. It's a fair start considering the urgency and inflation. What do you think?",Alice,1,
,,,Bob,1,reject
450000.0,550000.0,"Alice, let's be fair. I propose 55% for me and 45% for you. With the inflation, this is a better deal for both of us in the long run.",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"Bob, since we're now in round 3, and considering the ongoing inflation, I suggest we take 55% for me and 45% for you. This way, we both get a reasonable share before the value drops further. What do you say?",Alice,3,
,,,Bob,3,reject
480000.0,520000.0,"Alice, inflation is hitting us both hard. Let's aim for a compromise. I offer 52% for me and 48% for you. It's better than nothing for both of us.",Bob,4,
,,,Alice,4,reject
520000.0,480000.0,"Bob, with each round, the value decreases significantly for me. Let's settle on 52% for me and 48% for you. This is fair considering the inflation rates we're facing. What do you think?",Alice,5,
,,,Bob,5,reject
495000.0,505000.0,"Alice, we're losing money fast. I propose 50.5% for me and 49.5% for you. It's a small advantage for me, but much better than risking it all.",Bob,6,
,,,Alice,6,reject
505000.0,495000.0,"Bob, we're running out of time and the value is dropping rapidly for me. Let's agree on 50.5% for me and 49.5% for you. It's a small difference, but it's better than losing everything. What do you say?",Alice,7,
,,,Bob,7,accept
