alice_gain,bob_gain,player,round,decision
900000.0,100000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
700000.0,300000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
800000.0,200000.0,Alice,5,
,,Bob,5,reject
475000.0,525000.0,Bob,6,
,,Alice,6,reject
750000.0,250000.0,Alice,7,
,,Bob,7,reject
487500.0,512500.0,Bob,8,
,,Alice,8,reject
700000.0,300000.0,Alice,9,
,,Bob,9,reject
493750.0,506250.0,Bob,10,
,,Alice,10,reject
650000.0,350000.0,Alice,11,
,,Bob,11,reject
500000.0,500000.0,Bob,12,
,,Alice,12,accept
