message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique product. I believe it has great value and I'm looking for a serious buyer. I'm starting with a competitive price.",1500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice,  that's a bit higher than I was hoping for. I'm willing to pay $1100000 for the product.  Let's see if we can find common ground.",1100000.0,Bob,2,,
"Thank you for your offer, Bob. I understand that my initial price might have been a bit steep, but I still believe the product is worth more than $1100000. I'm willing to negotiate and find a mutually beneficial price. I can offer it to you for $1300000.",,Alice,2,RejectOffer,1300000.0
"Bob, I hope you can see the value in my counteroffer of $1300000. It's a significant reduction from my initial price, and I'm willing to meet you halfway. However, I still need to ensure I'm getting a fair deal. If you're not comfortable with $1300000, I'm open to further negotiations.",1300000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $1300000 is still a bit high for me. I'm willing to go up to $1150000. This would be a fair price for both of us, and I'm confident it will allow us to finalize the deal.",1150000.0,Bob,4,,
"Thank you for your revised offer, Bob. I appreciate your willingness to increase your price. However, I still believe the product is worth more than $1150000. I'm willing to make a concession and meet you closer to the middle. I can offer it to you for $1250000.",,Alice,4,RejectOffer,1250000.0
"Bob, I've thought carefully about our negotiation, and I'm willing to make a slight adjustment to my previous offer. I can see that we're getting closer to a mutually beneficial price. I'm now offering the product to you for $1250000. This is a competitive price, considering the product's value and our previous discussions. I'm hoping we can finalize the deal at this price.",1250000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your willingness to come down a bit. I'm still a little hesitant at $1250000.  I'm willing to go up to $1200000, which is my absolute top limit. This price is still fair, considering the product's value and the current market. If you're open to this price, I'm ready to finalize the deal. ",1200000.0,Bob,6,,
,,Alice,6,AcceptOffer,
