message,product_price,player,round,decision,counter_offer
"Hi Bob, I have a great product I think you'd be really interested in. I'm offering it to you for $140.",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested in the product, but $140 is a bit out of my budget. Would you be willing to sell it for $120?",120.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"Thanks for the counteroffer, Bob! I appreciate it. However, I'm hoping to get a little bit more for it. How about $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming down to $130, Alice. I understand you want a bit more, but I'm hoping we can meet in the middle. How about $125?",125.0,Bob,4,,
,,Alice,4,RejectOffer,128.0
"Bob, I'm willing to come down a bit. How about we settle on $128?",128.0,Alice,5,,
,,Bob,5,AcceptOffer,
